id,year,image_url
http://kulturarvsdata.se/S-OM/photo/OMEIJA00D344,1972,https://ems.dimu.org/image/013AmtMhd5nG?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA00D699,1960,https://ems.dimu.org/image/013AmtMhe6JZ?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA0D1193,1986,https://ems.dimu.org/image/019EBsk7qypdn?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMF1957000388,1957,https://ems.dimu.org/image/0138WudWircg?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMF1959000013,1959,https://ems.dimu.org/image/03349wJhpUsV?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMF1960000643,1960,https://ems.dimu.org/image/013Akt98PVAP?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMFAH000659,1969,https://ems.dimu.org/image/0136NRWFUDDQ?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMFAR000478,1977,https://ems.dimu.org/image/0136MvdFnyCs?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMFL000580,1952,https://ems.dimu.org/image/02349SRZEKZg?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG1005055,1956,https://ems.dimu.org/image/019EBsk7vUUV6?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG1005468,1956,https://ems.dimu.org/image/019EBsk7vUofQ?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEA0005540038,1956,https://ems.dimu.org/image/019EE7DyMBJmD?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10030810001,1953,https://ems.dimu.org/image/019EBvjym1BmS?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMF1970000098,1970,https://ems.dimu.org/image/013AkNon8yXb?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG2004993,1967,https://ems.dimu.org/image/019EBsk7wxnsR?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10072890004,1958,https://ems.dimu.org/image/019EBsk7wvSj4?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10072270002,1958,https://ems.dimu.org/image/0334ASJUPSn3?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OME049167,1977,https://ems.dimu.org/image/02347T1QUWzD?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMFN000395,1952,https://ems.dimu.org/image/0136Jw72LR1C?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA0N1102,1960,https://ems.dimu.org/image/019EBsk7r1WCP?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA00N603,1986,https://ems.dimu.org/image/019EBsk7pXBWW?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMFP000189,1956,https://ems.dimu.org/image/0136MuqM8YLp?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10068280002,1958,https://ems.dimu.org/image/02349wJko8FD?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA0F1243,1972,https://ems.dimu.org/image/019EBsk7qzpmy?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA00N935,1950,https://ems.dimu.org/image/019EBsk7pYXWY?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMFAJ000392B,1970,https://ems.dimu.org/image/013Ajt9ffAuR?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG2002522,1964,https://ems.dimu.org/image/019EBsk7ySStw?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OME033728,1965,https://ems.dimu.org/image/0331xUEG6cYg?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OME040128,1971,https://ems.dimu.org/image/019EGHDJhQeFR?dimension=600x600
